ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_1,wt_GFPpos_24hpf_2,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_1,wt_GFPpos_48hpf_2,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_1,wt_GFPpos_72hpf_2,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_1,gata5_GFPpos_72hpf_2,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_1,tbx5_GFPpos_72hpf_2,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_1,hand2_GFPpos_72hpf_2
ENSDARG00000096934,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSDARG00000096936,0,0,0,0,0,11,33,0,0,1,44,0,17,45,26,4,0,0
ENSDARG00000096937,0,26,0,32,0,20,18,58,0,0,40,0,42,0,0,0,12,44
ENSDARG00000096939,0,1,0,10,0,2,3,0,0,5,1,0,22,24,0,23,19,2
ENSDARG00000096941,48,71,279,79,61,57,64,50,122,42,75,87,224,142,131,72,122,71
ENSDARG00000096942,0,0,0,10,0,0,1,0,2,2,7,8,117,0,0,37,1,14
ENSDARG00000096946,0,0,0,0,1,3,0,0,0,0,0,0,24,0,0,0,14,21
ENSDARG00000096948,49,61,14,42,83,47,17,67,15,29,23,27,72,113,32,13,84,90
ENSDARG00000096949,0,0,84,3,9,22,0,0,0,0,0,0,22,0,0,21,14,19
ENSDARG00000096950,19,0,41,10,45,36,9,76,1,0,54,52,16,0,6,2,16,26
ENSDARG00000096951,68,84,270,74,73,149,31,22,0,45,6,2,144,51,18,34,219,52
ENSDARG00000096954,0,49,70,0,137,79,33,509,150,24,26,137,14,168,161,27,180,248
ENSDARG00000096955,0,2,0,1,33,0,0,35,136,3,0,0,3,231,12,18,50,21
ENSDARG00000096956,21,104,0,6,0,5,0,0,0,0,0,0,11,0,26,0,4,23
ENSDARG00000096957,0,0,0,0,22,17,0,0,0,0,0,3,9,0,0,2,1,14
ENSDARG00000096959,4,0,0,0,0,5,2,0,0,3,36,12,1,17,8,0,14,35
ENSDARG00000096961,7,80,38,3,5,71,3,4,0,13,17,15,68,26,42,7,47,19
ENSDARG00000096962,78,39,0,89,136,180,76,125,307,88,58,57,135,189,198,144,207,113
ENSDARG00000096964,0,0,1,4,1,1,0,0,0,0,4,1,0,0,0,0,0,22
ENSDARG00000096967,1,25,1,0,0,12,20,0,0,0,0,0,0,0,0,20,0,19
ENSDARG00000096969,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSDARG00000096970,0,0,0,14,0,0,5,0,0,0,0,0,26,19,9,14,15,0
ENSDARG00000096971,0,45,0,30,110,79,17,117,0,90,39,16,226,53,60,99,52,29
ENSDARG00000096972,40,99,111,42,36,51,32,0,87,36,5,0,70,0,0,30,20,32
ENSDARG00000096973,0,0,0,0,32,8,0,0,0,2,0,0,8,0,0,2,0,0
ENSDARG00000096974,0,0,0,0,0,22,0,0,0,0,3,0,0,28,0,0,0,0
ENSDARG00000096975,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,13,0
ENSDARG00000096978,96,311,617,17,5,0,29,0,0,48,0,0,78,49,0,15,4,15
ENSDARG00000096979,0,0,0,0,31,0,0,31,0,0,215,38,0,85,66,2,129,215
ENSDARG00000096981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENSDARG00000096982,7,0,55,15,6,0,17,0,0,0,0,0,0,37,0,0,6,1
ENSDARG00000096985,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,21,15
ENSDARG00000096986,27,23,0,20,36,68,24,52,321,27,21,55,39,144,41,16,120,52
ENSDARG00000096987,0,0,0,1,0,0,0,0,98,0,0,0,18,0,0,0,0,0
ENSDARG00000096988,8,39,173,76,157,77,27,448,324,86,146,238,201,285,117,78,268,243
ENSDARG00000096989,5,0,23,7,4,19,40,0,0,2,0,0,44,33,0,13,38,22
ENSDARG00000096990,0,0,0,12,43,31,8,0,0,0,36,27,0,81,18,0,36,25
ENSDARG00000096991,0,0,0,154,120,56,45,30,0,133,49,70,667,78,39,281,75,60
ENSDARG00000096992,1172,670,468,1227,598,745,694,637,1044,458,529,530,1316,667,670,976,388,284
ENSDARG00000096994,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000096995,22,16,88,0,171,57,22,0,342,0,0,0,32,59,8,19,170,11
ENSDARG00000096996,0,0,0,9,0,6,0,33,0,2,10,26,2,0,0,9,11,0
ENSDARG00000096997,0,0,0,0,20,0,0,0,0,0,24,0,2,0,0,0,36,1
ENSDARG00000096998,7,15,0,3,20,0,18,0,0,28,0,0,63,2,0,0,0,0
ENSDARG00000096999,19,1,115,22,18,1,41,0,0,16,0,14,73,25,42,11,35,77
ENSDARG00000097000,52,112,23,69,79,63,30,0,66,39,43,53,169,169,104,57,109,25
ENSDARG00000097001,45,127,0,63,27,25,8,0,10,2,35,27,132,86,83,33,74,23
ENSDARG00000097003,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSDARG00000097006,8,0,0,9,613,510,1,1079,493,0,276,43,9,336,223,0,205,256
ENSDARG00000097007,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000097008,0,0,0,0,0,8,1263,726,3185,77,61,90,1168,297,83,46,0,43
ENSDARG00000097009,0,0,0,3,0,11,0,2,0,0,0,0,0,0,0,0,1,1
ENSDARG00000097010,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
