ENSEMBL,wt_GFPneg_24hpf_1,wt_GFPpos_24hpf_av,wt_GFPneg_48hpf_1,wt_GFPpos_48hpf_av,wt_GFPneg_72hpf_1,wt_GFPpos_72hpf_av,gata5_GFPneg_72hpf_1,gata5_GFPpos_72hpf_av,tbx5_GFPneg_72hpf_1,tbx5_GFPpos_72hpf_av,hand2_GFPneg_72hpf_1,hand2_GFPpos_72hpf_av
ENSDARG00000018820,1206,3980,911,5730.5,1407,4746.5,1088,1304,2741,4984,1413,4304.5
ENSDARG00000018825,287,570,201,667,347,849,316,380,768,1294,294,885.5
ENSDARG00000018840,399,1128.5,441,1419.5,313,1651.5,438,503,811,1214,424,1689.5
ENSDARG00000018846,4,23.5,0,345,0,699,0,322,7,866.5,0,587.5
ENSDARG00000018853,475,1023,327,641,287,842.5,309,451.5,578,1133,305,987.5
ENSDARG00000018854,811,923,802,945,463,1140.5,593,440.5,1621,1308.5,624,1154.5
ENSDARG00000018856,63,158.5,351,150.5,92,120,204,88,1322,120,608,60.5
ENSDARG00000018871,6,26.5,0,1.5,0,36.5,0,9,16,15.5,24,6.5
ENSDARG00000018881,8,56,8,249.5,28,182,0,19.5,26,27,18,127.5
ENSDARG00000018882,420,1934,545,897.5,334,1656.5,280,695,1012,1783,615,1970.5
ENSDARG00000018890,632,715,434,475.5,299,639,268,256,741,388.5,302,665
ENSDARG00000018891,331,1045,114,143,135,903.5,110,227.5,201,332.5,133,249
ENSDARG00000018896,33,4.5,700,188.5,135,317.5,642,172,2747,106,741,113
ENSDARG00000018898,386,380.5,533,913.5,441,1257,431,618,1341,1177.5,407,1398.5
ENSDARG00000018902,434,1116,343,525.5,336,1348.5,253,368,647,1038,309,1209.5
ENSDARG00000018903,292,514.5,299,689,182,1084,209,632.5,655,778,505,973
ENSDARG00000018904,1554,1880,1369,1699.5,918,2326.5,789,1138,2029,2317.5,1103,1914
ENSDARG00000018907,4081,5099.5,5401,4392,2773,4809.5,2669,2094,10032,5588.5,2967,5002
ENSDARG00000018913,184,284,430,399,204,788,255,293,773,687,225,695
ENSDARG00000018914,1592,2178.5,1315,1545.5,721,1780.5,1000,808.5,2220,1701,884,1944.5
ENSDARG00000018918,142,504,106,129,123,324.5,94,94,241,235.5,86,150
ENSDARG00000018921,15,5.5,98,81.5,58,163.5,166,84.5,355,203.5,178,495.5
ENSDARG00000018923,842,53.5,565,660.5,1127,387,408,152.5,795,228,268,117.5
ENSDARG00000018936,79,92.5,80,125.5,54,219.5,48,66,161,149,80,156
ENSDARG00000018944,12,0,7,101,13,464,0,8,40,251,0,127
ENSDARG00000018953,123,296.5,57,593,57,32,65,187.5,137,319.5,71,322.5
ENSDARG00000018956,78,182.5,167,197.5,64,290,42,107,214,165.5,142,231
ENSDARG00000018958,476,217,264,183,87,163,68,48,220,110.5,116,102
ENSDARG00000018961,2708,3099.5,1825,2813.5,1549,5626.5,2045,3607.5,3657,5963.5,2307,7342
ENSDARG00000018966,16,119,71,437.5,92,782,44,437,158,522.5,66,691
ENSDARG00000018967,27,59,164,46,128,203.5,292,34,620,75.5,140,109.5
ENSDARG00000018968,402,692,1355,1112,375,1110,585,279,1516,700,505,553
ENSDARG00000018971,95,221,260,74,70,498,150,148.5,277,109.5,148,176.5
ENSDARG00000018973,337,824.5,497,1360.5,298,1807.5,250,768,1100,1827.5,537,1652
ENSDARG00000018976,103,498.5,68,1345.5,83,730.5,117,401.5,184,805.5,113,1171.5
